=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (0, 6) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (3, 21) |Resource | wood | 315 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (3, 23) |Resource | wood | 385 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (4, 0) |Resource | wood | 320 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (4, 1) |Resource | wood | 360 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (4, 22) |Resource | wood | 360 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (4, 23) |Resource | wood | 320 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (5, 0) |Resource | wood | 320 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (5, 1) |Resource | wood | 349 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (5, 22) |Resource | wood | 349 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (5, 23) |Resource | wood | 320 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (12, 11) |Resource | wood | 309 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (12, 12) |Resource | wood | 309 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (13, 11) |Resource | wood | 318 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (13, 12) |Resource | wood | 318 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (15, 0) |Resource | wood | 358 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (15, 23) |Resource | wood | 358 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (22, 8) |Resource | wood | 392 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (22, 9) |Resource | wood | 406 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (22, 14) |Resource | wood | 406 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (22, 15) |Resource | wood | 392 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (23, 8) |Resource | wood | 351 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (23, 9) |Resource | wood | 354 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (23, 10) |Resource | wood | 310 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (23, 13) |Resource | wood | 310 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (23, 14) |Resource | wood | 354 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (23, 15) |Resource | wood | 351 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (0, 6) |Resource | wood | 760 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (0, 7) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (0, 9) |Resource | wood | 330 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (0, 14) |Resource | wood | 330 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (0, 16) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (0, 17) |Resource | wood | 760 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (1, 7) |Resource | wood | 760 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (1, 8) |Resource | wood | 398 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (1, 9) |Resource | wood | 366 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (1, 14) |Resource | wood | 366 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (1, 15) |Resource | wood | 398 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (1, 16) |Resource | wood | 760 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (3, 0) |Resource | wood | 395 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (3, 2) |Resource | wood | 323 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (3, 21) |Resource | wood | 323 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (3, 23) |Resource | wood | 395 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,946] CRITICAL: Unknown resource Cell (4, 0) |Resource | wood | 328 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (4, 1) |Resource | wood | 369 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (4, 22) |Resource | wood | 369 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (4, 23) |Resource | wood | 328 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (5, 0) |Resource | wood | 328 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (5, 1) |Resource | wood | 358 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (5, 22) |Resource | wood | 358 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (5, 23) |Resource | wood | 328 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (12, 11) |Resource | wood | 317 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (12, 12) |Resource | wood | 317 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (13, 11) |Resource | wood | 326 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (13, 12) |Resource | wood | 326 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (15, 0) |Resource | wood | 367 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (15, 23) |Resource | wood | 367 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (22, 8) |Resource | wood | 402 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (22, 9) |Resource | wood | 417 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (22, 14) |Resource | wood | 417 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (22, 15) |Resource | wood | 402 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (23, 8) |Resource | wood | 360 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (23, 9) |Resource | wood | 363 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (23, 10) |Resource | wood | 318 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (23, 13) |Resource | wood | 318 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (23, 14) |Resource | wood | 363 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,947] CRITICAL: Unknown resource Cell (23, 15) |Resource | wood | 360 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,092] CRITICAL: Unknown resource Cell (0, 6) |Resource | wood | 740 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,092] CRITICAL: Unknown resource Cell (0, 7) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,092] CRITICAL: Unknown resource Cell (0, 9) |Resource | wood | 339 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,092] CRITICAL: Unknown resource Cell (0, 14) |Resource | wood | 339 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,092] CRITICAL: Unknown resource Cell (0, 16) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,092] CRITICAL: Unknown resource Cell (0, 17) |Resource | wood | 740 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,092] CRITICAL: Unknown resource Cell (1, 7) |Resource | wood | 740 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (1, 8) |Resource | wood | 408 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (1, 9) |Resource | wood | 376 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (1, 14) |Resource | wood | 376 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (1, 15) |Resource | wood | 408 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (1, 16) |Resource | wood | 740 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (3, 0) |Resource | wood | 405 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (3, 2) |Resource | wood | 332 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (3, 21) |Resource | wood | 332 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (3, 23) |Resource | wood | 405 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (4, 0) |Resource | wood | 337 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (4, 1) |Resource | wood | 379 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (4, 22) |Resource | wood | 379 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (4, 23) |Resource | wood | 337 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (5, 0) |Resource | wood | 337 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (5, 1) |Resource | wood | 367 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (5, 22) |Resource | wood | 367 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (5, 23) |Resource | wood | 337 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (12, 11) |Resource | wood | 325 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (12, 12) |Resource | wood | 325 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (13, 11) |Resource | wood | 335 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (13, 12) |Resource | wood | 335 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (15, 0) |Resource | wood | 377 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (15, 23) |Resource | wood | 377 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (22, 8) |Resource | wood | 413 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (22, 9) |Resource | wood | 428 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (22, 14) |Resource | wood | 428 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (22, 15) |Resource | wood | 413 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (23, 8) |Resource | wood | 369 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (23, 9) |Resource | wood | 373 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,093] CRITICAL: Unknown resource Cell (23, 10) |Resource | wood | 326 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,094] CRITICAL: Unknown resource Cell (23, 13) |Resource | wood | 326 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,094] CRITICAL: Unknown resource Cell (23, 14) |Resource | wood | 373 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,094] CRITICAL: Unknown resource Cell (23, 15) |Resource | wood | 369 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,231] CRITICAL: Unknown resource Cell (0, 6) |Resource | wood | 720 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,231] CRITICAL: Unknown resource Cell (0, 7) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,231] CRITICAL: Unknown resource Cell (0, 9) |Resource | wood | 348 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,231] CRITICAL: Unknown resource Cell (0, 14) |Resource | wood | 348 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,231] CRITICAL: Unknown resource Cell (0, 16) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,231] CRITICAL: Unknown resource Cell (0, 17) |Resource | wood | 720 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,231] CRITICAL: Unknown resource Cell (1, 7) |Resource | wood | 720 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (1, 8) |Resource | wood | 419 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (1, 9) |Resource | wood | 386 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (1, 14) |Resource | wood | 386 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (1, 15) |Resource | wood | 419 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (1, 16) |Resource | wood | 720 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (3, 0) |Resource | wood | 416 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (3, 2) |Resource | wood | 341 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (3, 21) |Resource | wood | 341 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (3, 23) |Resource | wood | 416 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (4, 0) |Resource | wood | 346 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (4, 1) |Resource | wood | 389 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (4, 22) |Resource | wood | 389 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (4, 23) |Resource | wood | 346 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (5, 0) |Resource | wood | 346 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (5, 1) |Resource | wood | 377 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (5, 22) |Resource | wood | 377 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (5, 23) |Resource | wood | 346 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (12, 11) |Resource | wood | 334 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (12, 12) |Resource | wood | 334 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (13, 11) |Resource | wood | 344 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (13, 12) |Resource | wood | 344 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (15, 0) |Resource | wood | 387 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (15, 23) |Resource | wood | 387 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (22, 8) |Resource | wood | 424 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (22, 9) |Resource | wood | 439 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,232] CRITICAL: Unknown resource Cell (22, 14) |Resource | wood | 439 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,233] CRITICAL: Unknown resource Cell (22, 15) |Resource | wood | 424 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,233] CRITICAL: Unknown resource Cell (23, 8) |Resource | wood | 379 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,233] CRITICAL: Unknown resource Cell (23, 9) |Resource | wood | 383 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,233] CRITICAL: Unknown resource Cell (23, 10) |Resource | wood | 335 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,233] CRITICAL: Unknown resource Cell (23, 13) |Resource | wood | 335 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,233] CRITICAL: Unknown resource Cell (23, 14) |Resource | wood | 383 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,233] CRITICAL: Unknown resource Cell (23, 15) |Resource | wood | 379 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (0, 6) |Resource | wood | 700 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (0, 7) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (0, 9) |Resource | wood | 357 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (0, 14) |Resource | wood | 357 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (0, 16) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (0, 17) |Resource | wood | 700 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (1, 7) |Resource | wood | 700 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (1, 8) |Resource | wood | 430 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (1, 9) |Resource | wood | 396 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:28,362] CRITICAL: Unknown resource Cell (1, 14) |Resource | wood | 396 |Road: 0 |, wood, wood, True
