=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (0, 1) |Resource | wood | 319 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (14, 12) |Resource | wood | 326 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (14, 19) |Resource | wood | 326 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (14, 20) |Resource | wood | 330 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (14, 21) |Resource | wood | 327 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (15, 10) |Resource | wood | 376 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (15, 11) |Resource | wood | 367 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (15, 20) |Resource | wood | 367 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (15, 21) |Resource | wood | 376 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (16, 12) |Resource | wood | 336 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (16, 19) |Resource | wood | 336 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (17, 13) |Resource | wood | 355 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (17, 18) |Resource | wood | 355 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (18, 14) |Resource | wood | 365 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (18, 17) |Resource | wood | 365 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (22, 0) |Resource | wood | 353 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (22, 1) |Resource | wood | 309 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (22, 30) |Resource | wood | 309 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (22, 31) |Resource | wood | 353 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (23, 0) |Resource | wood | 387 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (23, 1) |Resource | wood | 382 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (23, 30) |Resource | wood | 382 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (23, 31) |Resource | wood | 387 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (31, 8) |Resource | wood | 359 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (31, 9) |Resource | wood | 370 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (31, 15) |Resource | wood | 365 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (31, 16) |Resource | wood | 365 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (31, 22) |Resource | wood | 370 |Road: 0 |
[2021-09-23 20:10:35,517] CRITICAL: Unknown resource Cell (31, 23) |Resource | wood | 359 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (0, 1) |Resource | wood | 327 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (0, 30) |Resource | wood | 327 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (1, 0) |Resource | wood | 372 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (1, 31) |Resource | wood | 372 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (4, 13) |Resource | wood | 360 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (4, 18) |Resource | wood | 360 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (5, 12) |Resource | wood | 379 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (5, 13) |Resource | wood | 373 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (5, 18) |Resource | wood | 373 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (5, 19) |Resource | wood | 379 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (6, 12) |Resource | wood | 360 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (6, 19) |Resource | wood | 360 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (7, 11) |Resource | wood | 385 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (7, 20) |Resource | wood | 385 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (8, 10) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (8, 11) |Resource | wood | 780 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (8, 12) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (8, 19) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (8, 20) |Resource | wood | 780 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (8, 21) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (12, 10) |Resource | wood | 336 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (12, 21) |Resource | wood | 336 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (13, 9) |Resource | wood | 349 |Road: 0 |
[2021-09-23 20:10:35,628] CRITICAL: Unknown resource Cell (13, 10) |Resource | wood | 376 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (13, 11) |Resource | wood | 397 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (13, 20) |Resource | wood | 397 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (13, 21) |Resource | wood | 376 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (13, 22) |Resource | wood | 349 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (14, 10) |Resource | wood | 336 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (14, 11) |Resource | wood | 339 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (14, 12) |Resource | wood | 335 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (14, 19) |Resource | wood | 335 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (14, 20) |Resource | wood | 339 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (14, 21) |Resource | wood | 336 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (15, 10) |Resource | wood | 386 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (15, 11) |Resource | wood | 377 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (15, 20) |Resource | wood | 377 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (15, 21) |Resource | wood | 386 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (16, 12) |Resource | wood | 345 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (16, 19) |Resource | wood | 345 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (17, 13) |Resource | wood | 364 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (17, 18) |Resource | wood | 364 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (18, 14) |Resource | wood | 375 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (18, 17) |Resource | wood | 375 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (22, 0) |Resource | wood | 362 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (22, 1) |Resource | wood | 317 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (22, 30) |Resource | wood | 317 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (22, 31) |Resource | wood | 362 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (23, 0) |Resource | wood | 397 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (23, 1) |Resource | wood | 392 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (23, 30) |Resource | wood | 392 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (23, 31) |Resource | wood | 397 |Road: 0 |
[2021-09-23 20:10:35,629] CRITICAL: Unknown resource Cell (31, 8) |Resource | wood | 368 |Road: 0 |
[2021-09-23 20:10:35,630] CRITICAL: Unknown resource Cell (31, 9) |Resource | wood | 380 |Road: 0 |
[2021-09-23 20:10:35,630] CRITICAL: Unknown resource Cell (31, 15) |Resource | wood | 375 |Road: 0 |
[2021-09-23 20:10:35,630] CRITICAL: Unknown resource Cell (31, 16) |Resource | wood | 375 |Road: 0 |
[2021-09-23 20:10:35,630] CRITICAL: Unknown resource Cell (31, 22) |Resource | wood | 380 |Road: 0 |
[2021-09-23 20:10:35,630] CRITICAL: Unknown resource Cell (31, 23) |Resource | wood | 368 |Road: 0 |
[2021-09-23 20:10:35,767] CRITICAL: Unknown resource Cell (0, 1) |Resource | wood | 336 |Road: 0 |
[2021-09-23 20:10:35,767] CRITICAL: Unknown resource Cell (0, 30) |Resource | wood | 336 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (1, 0) |Resource | wood | 382 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (1, 31) |Resource | wood | 382 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (4, 13) |Resource | wood | 369 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (4, 18) |Resource | wood | 369 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (5, 12) |Resource | wood | 389 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (5, 13) |Resource | wood | 383 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (5, 18) |Resource | wood | 383 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (5, 19) |Resource | wood | 389 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (6, 12) |Resource | wood | 369 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (6, 19) |Resource | wood | 369 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (7, 11) |Resource | wood | 395 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (7, 20) |Resource | wood | 395 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (8, 10) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (8, 11) |Resource | wood | 760 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (8, 12) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (8, 19) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (8, 20) |Resource | wood | 760 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (8, 21) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (12, 10) |Resource | wood | 345 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (12, 21) |Resource | wood | 345 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (13, 9) |Resource | wood | 358 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (13, 10) |Resource | wood | 386 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (13, 11) |Resource | wood | 407 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (13, 20) |Resource | wood | 407 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (13, 21) |Resource | wood | 386 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (13, 22) |Resource | wood | 358 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (14, 10) |Resource | wood | 345 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (14, 11) |Resource | wood | 348 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (14, 12) |Resource | wood | 344 |Road: 0 |
[2021-09-23 20:10:35,768] CRITICAL: Unknown resource Cell (14, 19) |Resource | wood | 344 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (14, 20) |Resource | wood | 348 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (14, 21) |Resource | wood | 345 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (15, 10) |Resource | wood | 396 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (15, 11) |Resource | wood | 387 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (15, 20) |Resource | wood | 387 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (15, 21) |Resource | wood | 396 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (16, 12) |Resource | wood | 354 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (16, 19) |Resource | wood | 354 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (17, 13) |Resource | wood | 374 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (17, 18) |Resource | wood | 374 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (18, 14) |Resource | wood | 385 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (18, 17) |Resource | wood | 385 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (22, 0) |Resource | wood | 372 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (22, 1) |Resource | wood | 325 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (22, 30) |Resource | wood | 325 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (22, 31) |Resource | wood | 372 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (23, 0) |Resource | wood | 407 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (23, 1) |Resource | wood | 402 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (23, 30) |Resource | wood | 402 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (23, 31) |Resource | wood | 407 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (31, 8) |Resource | wood | 378 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (31, 9) |Resource | wood | 390 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (31, 15) |Resource | wood | 385 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (31, 16) |Resource | wood | 385 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (31, 22) |Resource | wood | 390 |Road: 0 |
[2021-09-23 20:10:35,769] CRITICAL: Unknown resource Cell (31, 23) |Resource | wood | 378 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (0, 1) |Resource | wood | 345 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (0, 30) |Resource | wood | 345 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (1, 0) |Resource | wood | 392 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (1, 31) |Resource | wood | 392 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (4, 13) |Resource | wood | 379 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (4, 18) |Resource | wood | 379 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (5, 12) |Resource | wood | 399 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (5, 13) |Resource | wood | 393 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (5, 18) |Resource | wood | 393 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (5, 19) |Resource | wood | 399 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (6, 12) |Resource | wood | 379 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (6, 19) |Resource | wood | 379 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (7, 11) |Resource | wood | 405 |Road: 0 |
[2021-09-23 20:10:35,908] CRITICAL: Unknown resource Cell (7, 20) |Resource | wood | 405 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (8, 10) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (8, 11) |Resource | wood | 740 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (8, 12) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (8, 19) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (8, 20) |Resource | wood | 740 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (8, 21) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (12, 10) |Resource | wood | 354 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (12, 21) |Resource | wood | 354 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (13, 9) |Resource | wood | 367 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (13, 10) |Resource | wood | 396 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (13, 11) |Resource | wood | 418 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (13, 20) |Resource | wood | 418 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (13, 21) |Resource | wood | 396 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (13, 22) |Resource | wood | 367 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (14, 10) |Resource | wood | 354 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (14, 11) |Resource | wood | 357 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (14, 12) |Resource | wood | 353 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (14, 19) |Resource | wood | 353 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (14, 20) |Resource | wood | 357 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (14, 21) |Resource | wood | 354 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (15, 10) |Resource | wood | 406 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (15, 11) |Resource | wood | 397 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (15, 20) |Resource | wood | 397 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (15, 21) |Resource | wood | 406 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (16, 12) |Resource | wood | 363 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (16, 19) |Resource | wood | 363 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (17, 13) |Resource | wood | 384 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (17, 18) |Resource | wood | 384 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (18, 14) |Resource | wood | 395 |Road: 0 |
[2021-09-23 20:10:35,909] CRITICAL: Unknown resource Cell (18, 17) |Resource | wood | 395 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (22, 0) |Resource | wood | 382 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (22, 1) |Resource | wood | 334 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (22, 30) |Resource | wood | 334 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (22, 31) |Resource | wood | 382 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (23, 0) |Resource | wood | 418 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (23, 1) |Resource | wood | 413 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (23, 30) |Resource | wood | 413 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (23, 31) |Resource | wood | 418 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (31, 8) |Resource | wood | 388 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (31, 9) |Resource | wood | 400 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (31, 15) |Resource | wood | 395 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (31, 16) |Resource | wood | 395 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (31, 22) |Resource | wood | 400 |Road: 0 |
[2021-09-23 20:10:35,910] CRITICAL: Unknown resource Cell (31, 23) |Resource | wood | 388 |Road: 0 |
[2021-09-23 20:10:36,045] CRITICAL: Unknown resource Cell (0, 1) |Resource | wood | 354 |Road: 0 |
[2021-09-23 20:10:36,045] CRITICAL: Unknown resource Cell (0, 30) |Resource | wood | 354 |Road: 0 |
[2021-09-23 20:10:36,045] CRITICAL: Unknown resource Cell (1, 0) |Resource | wood | 402 |Road: 0 |
[2021-09-23 20:10:36,045] CRITICAL: Unknown resource Cell (1, 31) |Resource | wood | 402 |Road: 0 |
[2021-09-23 20:10:36,045] CRITICAL: Unknown resource Cell (4, 13) |Resource | wood | 389 |Road: 0 |
[2021-09-23 20:10:36,045] CRITICAL: Unknown resource Cell (4, 18) |Resource | wood | 389 |Road: 0 |
[2021-09-23 20:10:36,045] CRITICAL: Unknown resource Cell (5, 12) |Resource | wood | 409 |Road: 0 |
