=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE18E790> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE18EC10> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE18EDC0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE18EDF0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE1958E0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE195580> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE195EB0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE18F6D0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE18F6A0> |Road: 0 |
[2021-09-23 20:07:51,226] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE188730> |Road: 0 |
[2021-09-23 20:07:51,226] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE1886A0> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE188910> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE188880> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE1889D0> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE188940> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE188F40> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE188FD0> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE188E80> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE188D90> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE188C40> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE188CD0> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE188580> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE188610> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE187160> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE187190> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE18F2E0> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE18FB20> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE18FB80> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE18FB50> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE18FAC0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3DE0A0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3DE0D0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3DE2E0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3DE310> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3DE3A0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3DE550> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3DE5E0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE187970> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE187880> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE187940> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE187F70> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE187FD0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE187EB0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE187DF0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE187E50> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE187D30> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE187C10> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE187AF0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE187B50> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE187700> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE187760> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE17FA90> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE17F910> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3DED00> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3DEE20> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3DEDC0> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3DEEE0> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3DEF40> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE1880A0> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE188130> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE1881C0> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE1882E0> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE188640> |Road: 0 |
[2021-09-23 20:07:51,380] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE1886A0> |Road: 0 |
[2021-09-23 20:07:51,380] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE188520> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE17FAF0> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE17FD30> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE17FEE0> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE17FFD0> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE17FE20> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE17FA90> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE17FE50> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE17FB80> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE17FC70> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE17F880> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE17F910> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE1970D0> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE1972B0> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE1971C0> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE188A60> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE188B20> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE188430> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE188880> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE188FA0> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE188610> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3DD130> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3DD0D0> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3DD1F0> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3DD310> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3DD430> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3DD3D0> |Road: 0 |
[2021-09-23 20:07:51,512] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3DD670> |Road: 0 |
[2021-09-23 20:07:51,512] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3DD610> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE197A60> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE197970> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE197B50> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE197AF0> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE197C10> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE197BB0> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE197D90> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE197D30> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE197E50> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE197FD0> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE195940> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE195B50> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE1958E0> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE1950D0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3DDDF0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3DDD90> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3DDF40> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3DDF10> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3DDFD0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE187040> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE187310> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE187250> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE187100> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE187F40> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE187A60> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE1875B0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE187CA0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE1877F0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3BF610> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3BF5B0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3BF640> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3BF730> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3BF700> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3BF7F0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3BF880> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3BF970> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3BF940> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3BFD60> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3BFB80> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3BFDF0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE18EDF0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE18EBE0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE187EE0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE187DC0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE187760> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3D40D0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3DB100> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3DB1C0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3DB1F0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3DB340> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3DB2B0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3DB580> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3DB4F0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3DB640> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3DB730> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3DB880> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE18F640> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE18F430> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE18F7C0> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE18F7F0> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE18F670> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE18F370> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE18F130> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE18F820> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE18F0A0> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3D11C0> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3D1130> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3D1280> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3D1370> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3D14C0> |Road: 0 |
[2021-09-23 20:07:51,990] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE15C1F0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3DBD90> |Road: 0 |
