=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74906E790> |Road: 0 |
[2021-09-23 20:07:51,226] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D749068730> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7490686A0> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D749068910> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D749068880> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7490689D0> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D749068940> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D749068F40> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D749068FD0> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D749068E80> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D749068D90> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D749068C40> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D749068CD0> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D749068580> |Road: 0 |
[2021-09-23 20:07:51,227] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D749068610> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D749067160> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D749067190> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D74906F2E0> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74906FB20> |Road: 0 |
[2021-09-23 20:07:51,259] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74906FB80> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74906FB50> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74906FAC0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7492BE0A0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D7492BE0D0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7492BE2E0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7492BE310> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7492BE3A0> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7492BE550> |Road: 0 |
[2021-09-23 20:07:51,260] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492BE5E0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D749067970> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D749067880> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D749067940> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D749067F70> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D749067FD0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D749067EB0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D749067DF0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D749067E50> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D749067D30> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D749067C10> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D749067AF0> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D749067B50> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D749067700> |Road: 0 |
[2021-09-23 20:07:51,316] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D749067760> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74905FA90> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D74905F910> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7492BED00> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D7492BEE20> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7492BEDC0> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D7492BEEE0> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D7492BEF40> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7490680A0> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D749068130> |Road: 0 |
[2021-09-23 20:07:51,379] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7490681C0> |Road: 0 |
[2021-09-23 20:07:51,380] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7490682E0> |Road: 0 |
[2021-09-23 20:07:51,380] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D749068640> |Road: 0 |
[2021-09-23 20:07:51,380] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7490686A0> |Road: 0 |
[2021-09-23 20:07:51,380] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D749068520> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74905FAF0> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D74905FD30> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D74905FEE0> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74905FFD0> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74905FE20> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74905FA90> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74905FE50> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D74905FB80> |Road: 0 |
[2021-09-23 20:07:51,420] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74905FC70> |Road: 0 |
[2021-09-23 20:07:51,421] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D74905F880> |Road: 0 |
[2021-09-23 20:07:51,421] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D74905F910> |Road: 0 |
[2021-09-23 20:07:51,421] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7490770D0> |Road: 0 |
[2021-09-23 20:07:51,421] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7490772B0> |Road: 0 |
[2021-09-23 20:07:51,421] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7490771C0> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D749068A60> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D749068B20> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D749068430> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D749068880> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D749068FA0> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D749068610> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D7492BD130> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7492BD0D0> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D7492BD1F0> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7492BD310> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7492BD430> |Road: 0 |
[2021-09-23 20:07:51,511] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7492BD3D0> |Road: 0 |
[2021-09-23 20:07:51,512] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7492BD670> |Road: 0 |
[2021-09-23 20:07:51,512] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492BD610> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D749077A60> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D749077970> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D749077B50> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D749077AF0> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D749077C10> |Road: 0 |
[2021-09-23 20:07:51,605] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D749077BB0> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D749077D90> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D749077D30> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D749077E50> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D749077FD0> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D749075940> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D749075B50> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7490758E0> |Road: 0 |
[2021-09-23 20:07:51,606] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7490750D0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D7492BDDF0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7492BDD90> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7492BDF40> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D7492BDF10> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7492BDFD0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D749067040> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D749067310> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D749067250> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D749067100> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D749067F40> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D749067A60> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7490675B0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D749067CA0> |Road: 0 |
[2021-09-23 20:07:51,667] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7490677F0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74929F610> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D74929F5B0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D74929F640> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74929F730> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74929F700> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74929F7F0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74929F880> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D74929F970> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74929F940> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D74929FD60> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D74929FB80> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D74929FDF0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D74906EDF0> |Road: 0 |
[2021-09-23 20:07:51,734] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D74906EBE0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D749067EE0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D749067DC0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D749067760> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D7492B40D0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7492BB100> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D7492BB1C0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D7492BB1F0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7492BB340> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D7492BB2B0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7492BB580> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7492BB4F0> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7492BB640> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7492BB730> |Road: 0 |
[2021-09-23 20:07:51,817] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492BB880> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74906F640> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D74906F430> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D74906F7C0> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74906F7F0> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74906F670> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74906F370> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74906F130> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D74906F820> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74906F0A0> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7492B11C0> |Road: 0 |
[2021-09-23 20:07:51,907] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7492B1130> |Road: 0 |
[2021-09-23 20:07:51,908] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7492B1280> |Road: 0 |
[2021-09-23 20:07:51,908] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7492B1370> |Road: 0 |
[2021-09-23 20:07:51,908] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492B14C0> |Road: 0 |
[2021-09-23 20:07:51,990] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74903C1F0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7492BBD90> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7492BBFD0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74905FD60> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74905FAF0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74905F9A0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74905FA90> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D74905FA00> |Road: 0 |
